year,section,org,kind,ref,norma,title,summary
2019,Accesibilidad,,Ley,6132,Ley N? 6132,Se modifica el Código de Tránsito y Transporte,
2019,Autorización De Actividad Económica (Habilitaciones),,Ley,6146,Ley N? 6146,Se modifica la Ley N° 6063,
2019,Autorización De Actividad Económica (Habilitaciones),,Ley,6194,Ley N? 6194,Se modifican el Código de Habilitaciones y Verificaciones y el Régimen de Faltas de la Ciudad de Buenos Aires referidos a Exposición y venta de animales vivos,
2019,Autorización De Actividad Económica (Habilitaciones),,Decreto,40,Decreto N? 40,Se aprueba la reglamentación de la Ley N° 6101,
2019,Autorización De Actividad Económica (Habilitaciones),,Decreto,178,Decreto N? 178,Se aprueba la reglamentación de la Ley N° 5.847,
2019,Autorización De Actividad Económica (Habilitaciones),,Decreto,422,Decreto N? 422,Se modifica el Anexo I del Decreto N° 170/18 reglamentario de la Ley N° 5670,
2019,Bienes Del Estado,Agencia Gubernamental De Control,Ley,6247,Ley N? 6247,Régimen para la disposición de Bienes Inmuebles de la Ciudad Autónoma de Buenos Aires,
2019,Bienes Del Estado,Agencia Gubernamental De Control,Ley,6290,Ley N? 6290,"Se aprueba el Convenio suscripto entre el Ministerio de Transporte de la Nación, la Agencia de Administración de Bienes del Estado, el Gobierno de la Ciudad Autónoma de Buenos Aires y Autopistas Urbanas SA",
2019,Código De Edificación,Agencia Gubernamental De Control,Decreto,58,Decreto N? 58,"Se designa como Autoridad de Aplicación del Código de Edificación al Subsecretaría de Registros, Interpretación y Catastro (sic)",
2019,Código Fiscal,Dirección General De Fiscalización Y Control De Obras,Ley,6279,Ley N? 6279,Se modifica el Código Fiscal vigente según Decreto N° 104/19,
2019,Código Urbanístico,Dirección General De Fiscalización Y Control De Obras,Ley,6152,Ley N? 6152,Se aprueban el Convenio Específico de Cooperación suscripto con el Ministerio de Transporte de la Nación y las normas urbanísticas especiales de detalle para el Distrito EE-49 Estación Terminal de Ómnibus de Larga Distancia – Retiro,
2019,Código Urbanístico,Dirección General De Fiscalización Y Control De Obras,Ley,6154,Ley N? 6154,"Se aprueba el Convenio suscripto con los titulares de dominio de las Parcelas 1a, 6a, 9a, 11a, Manzana 13E, Sección 61, Circunscripción 15",
2019,Código Urbanístico,Dirección General De Fiscalización Y Control De Obras,Ley,6168,Ley N? 6168,Se incorpora inciso al Código Urbanístico,
2019,Código Urbanístico,Dirección General De Fiscalización Y Control De Obras,Ley,6245,Ley N? 6245,"Desarrollo e integración urbana de polígono y su entorno, mediante la urbanización del predio y la creación dentro del espacio público de un Parque Temático",
2019,Código Urbanístico,Dirección General De Fiscalización Y Control De Obras,Decreto,86,Decreto N? 86,Se aprueba la reglamentación de la Ley N° 2216,
2019,Código Urbanístico,Dirección General De Fiscalización Y Control De Obras,Decreto,87,Decreto N? 87,Se aprueban los cuadros de asimilación de Rubros conforme los Rubros y Descripciones del Código Urbanístico,
2019,Código Urbanístico,Dirección General De Fiscalización Y Control De Obras,Decreto,99,Decreto N? 99,Se aprueba la reglamentación de la Ley N° 6.099 - Código Urbanístico,
2019,Energías Renovables,Dirección General De Fiscalización Y Control De Obras,Ley,6165,Ley N? 6165,Se adhiere a la Ley Nacional N° 27424 que establece el Régimen de Fomento a la Generación Distribuida de Energía Renovable integrada a la Red Eléctrica,
2019,Espacio Público,Dirección General De Fiscalización Y Control De Obras,Ley,6107,Ley N? 6107,Se dispone la creación de baños de uso público en parques emplazados en la Ciudad Autónoma de Buenos Aires,
2019,Espacios Culturales Independientes,Dirección General De Fiscalización Y Control De Obras,Ley,6146,Ley N? 6146,Se modifica la Ley N° 6063,
2019,Hoteles,Agencia De Protección Ambiental,Ley,6186,Ley N? 6186,Se modifica la Ley N° 6038,
2019,Hoteles,Agencia De Protección Ambiental,Decreto,74,Decreto N? 74,Se aprueba la reglamentación de la Ley N° 6038,
2019,Impacto Ambiental,Agencia De Protección Ambiental,Decreto,85,Decreto N? 85,Se aprueba la reglamentación de la Ley N° 123 modificada por Ley N° 6014,
2019,Impacto Ambiental,Agencia De Protección Ambiental,Decreto,86,Decreto N? 86,Se aprueba la reglamentación de la Ley N° 2216,
2019,Impacto Ambiental,Agencia De Protección Ambiental,Decreto,229,Decreto N? 229,Se modifica el Anexo I del Decreto N° 85/19,
2019,Infraestructura,Agencia De Protección Ambiental,Ley,6112,Ley N? 6112,Se crea el Sistema de Información de la Traza de Redes de Infraestructura e Instalaciones,
2019,Instalaciones,Agencia De Protección Ambiental,Ley,6110,Ley N? 6110,Se establece que las empresas prestatarias de suministro de gas no podrán exigir adecuaciones a nuevas regulaciones que impliquen modificaciones edilicias a cada unidad habitacional para interrumpir el suministro de gas,
2019,Instalaciones,Agencia De Protección Ambiental,Ley,6116,Ley N? 6116,Se modifican las Leyes N° 257 y N° 451 y la Ordenanza N° 40473,
2019,Instalaciones,Agencia De Protección Ambiental,Decreto,151,Decreto N? 151,Se establece como Autoridad de Aplicación de la Ley N° 257 (texto consolidado por Ley Nº 6017) y su modificatoria N° 6116 a la Agencia Gubernamental de Control,
2019,Ley 257 – Control De Fachadas,Agencia Gubernamental De Control,Ley,6116,Ley N? 6116,Se modifican las Leyes N° 257 y N° 451 y la Ordenanza N° 40473,
2019,Ley 257 – Control De Fachadas,Agencia Gubernamental De Control,Decreto,151,Decreto N? 151,Se establece como Autoridad de Aplicación de la Ley N° 257 (texto consolidado por Ley Nº 6017) y su modificatoria N° 6116 a la Agencia Gubernamental de Control,
2019,Ley Tarifaria,Agencia Gubernamental De Control,Ley,6148,Ley N? 6148,Se incorporan artículos a la Ley 6067,
2019,Ley Tarifaria,Agencia Gubernamental De Control,Ley,6280,Ley N? 6280,Ley Tarifaria año 2020,
2019,Medio Ambiente,Agencia Gubernamental De Control,Ley,6117,Ley N? 6117,Regulación de gestión ambiental de sitios contaminados,
2019,Medio Ambiente,Agencia Gubernamental De Control,Ley,6190,Ley N? 6190,"Se prorroga la Ley N° 3947 que declara la Emergencia Social, Urbanística, Ambiental y Sanitaria de la Cuenca Matanza-Riachuelo en la Ciudad Autónoma de Buenos Aires",
2019,Ministerios,Agencia De Protección Ambiental,Ley,6292,Ley N? 6292,Ley de Ministerios,
2019,Ministerios,Agencia De Protección Ambiental,Decreto,458,Decreto N? 458,Se designa a los miembros del Gabinete de la Ciudad Autónoma de Buenos Aires,
2019,Ministerios,Agencia De Protección Ambiental,Decreto,462,Decreto N? 462,Se designa como Director Ejecutivo de la Agencia Gubernamental de Control a Matías Lanusse,
2019,Ministerios,Agencia De Protección Ambiental,Decreto,463,Decreto N? 463,Se aprueban la estructura orgánico funcional dependiente del Poder Ejecutivo del Gobierno de la Ciudad Autónoma de Buenos Aires y las responsabilidades primarias y objetivos de las Unidades de Organización,
